State,Year,Home_price,Rent,Income
CA,2010,301958,2359,45860
CA,2011,314394,2456,46777
CA,2012,322415,2518,47694
CA,2013,327171,2555,48611
CA,2014,318866,2491,49528
CA,2015,344790,2693,50446
CA,2016,344259,2689,51363
CA,2017,335174,2618,52280
CA,2018,389007,3039,53197
CA,2019,335266,2619,54114
CA,2020,419359,3276,55032
CA,2021,459870,3592,55949
CA,2022,338305,2642,56866
CA,2023,497007,3882,57783
CA,2024,448646,3504,58700
TX,2010,527449,921,51396
TX,2011,538867,940,52423
TX,2012,563815,984,53451
TX,2013,552101,964,54479
TX,2014,573201,1000,55507
TX,2015,592468,1034,56535
TX,2016,616828,1077,57563
TX,2017,680329,1187,58591
TX,2018,603346,1053,59619
TX,2019,672563,1174,60647
TX,2020,705181,1231,61675
TX,2021,596248,1041,62703
TX,2022,744558,1300,63731
TX,2023,642787,1122,64758
TX,2024,620506,1083,65786
NY,2010,321699,1500,88323
NY,2011,329875,1538,90089
NY,2012,328543,1531,91855
NY,2013,340263,1586,93622
NY,2014,346972,1617,95388
NY,2015,381744,1779,97155
NY,2016,388097,1809,98921
NY,2017,419268,1954,100688
NY,2018,365281,1703,102454
NY,2019,395941,1846,104221
NY,2020,377318,1759,105987
NY,2021,464005,2163,107754
NY,2022,425953,1986,109520
NY,2023,398305,1857,111286
NY,2024,469008,2186,113053
FL,2010,451836,1602,51873
FL,2011,463496,1643,52910
FL,2012,494368,1752,53947
FL,2013,504824,1789,54985
FL,2014,493516,1749,56022
FL,2015,525977,1864,57060
FL,2016,535425,1898,58097
FL,2017,605066,2145,59135
FL,2018,610091,2163,60172
FL,2019,614061,2177,61210
FL,2020,594560,2108,62247
FL,2021,618188,2191,63285
FL,2022,715402,2536,64322
FL,2023,653200,2315,65359
FL,2024,584928,2073,66397
WA,2010,218044,914,85774
WA,2011,223668,937,87489
WA,2012,227524,953,89204
WA,2013,224953,942,90920
WA,2014,233702,979,92635
WA,2015,259966,1089,94351
WA,2016,272476,1142,96066
WA,2017,270302,1133,97782
WA,2018,300119,1258,99497
WA,2019,288774,1210,101213
WA,2020,319648,1339,102928
WA,2021,323580,1356,104644
WA,2022,291249,1220,106359
WA,2023,257207,1078,108075
WA,2024,293848,1231,109790
IL,2010,257373,1704,75818
IL,2011,262774,1739,77334
IL,2012,274076,1814,78850
IL,2013,276920,1833,80367
IL,2014,307682,2037,81883
IL,2015,313939,2078,83399
IL,2016,317396,2101,84916
IL,2017,292395,1935,86432
IL,2018,299052,1979,87948
IL,2019,284282,1882,89465
IL,2020,356272,2358,90981
IL,2021,298241,1974,92497
IL,2022,342532,2267,94014
IL,2023,317828,2104,95530
IL,2024,422510,2797,97047
PA,2010,302096,1463,67403
PA,2011,308129,1492,68751
PA,2012,318055,1540,70099
PA,2013,338548,1639,71447
PA,2014,325238,1575,72795
PA,2015,321851,1558,74143
PA,2016,341229,1652,75491
PA,2017,336879,1631,76839
PA,2018,416138,2015,78187
PA,2019,417171,2020,79535
PA,2020,408845,1979,80883
PA,2021,451163,2184,82231
PA,2022,454884,2202,83579
PA,2023,370676,1795,84927
PA,2024,495387,2399,86275
OH,2010,332906,2429,55230
OH,2011,340469,2484,56334
OH,2012,342495,2498,57439
OH,2013,351998,2568,58543
OH,2014,368972,2692,59648
OH,2015,404015,2947,60753
OH,2016,421650,3076,61857
